NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,0.22,1,Brasil,63,IPCA - Variação mensal,200003,março 2000
1,Brasil,2,%,0.42,1,Brasil,63,IPCA - Variação mensal,200004,abril 2000
1,Brasil,2,%,0.01,1,Brasil,63,IPCA - Variação mensal,200005,maio 2000
1,Brasil,2,%,0.23,1,Brasil,63,IPCA - Variação mensal,200006,junho 2000
1,Brasil,2,%,1.61,1,Brasil,63,IPCA - Variação mensal,200007,julho 2000
1,Brasil,2,%,1.31,1,Brasil,63,IPCA - Variação mensal,200008,agosto 2000
1,Brasil,2,%,0.23,1,Brasil,63,IPCA - Variação mensal,200009,setembro 2000
1,Brasil,2,%,0.14,1,Brasil,63,IPCA - Variação mensal,200010,outubro 2000
1,Brasil,2,%,0.32,1,Brasil,63,IPCA - Variação mensal,200011,novembro 2000
1,Brasil,2,%,0.59,1,Brasil,63,IPCA - Variação mensal,200012,dezembro 2000
1,Brasil,2,%,0.57,1,Brasil,63,IPCA - Variação mensal,200101,janeiro 2001
1,Brasil,2,%,0.46,1,Brasil,63,IPCA - Variação mensal,200102,fevereiro 2001
1,Brasil,2,%,0.38,1,Brasil,63,IPCA - Variação mensal,200103,março 2001
1,Brasil,2,%,0.58,1,Brasil,63,IPCA - Variação mensal,200104,abril 2001
1,Brasil,2,%,0.41,1,Brasil,63,IPCA - Variação mensal,200105,maio 2001
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,200106,junho 2001
1,Brasil,2,%,1.33,1,Brasil,63,IPCA - Variação mensal,200107,julho 2001
1,Brasil,2,%,0.70,1,Brasil,63,IPCA - Variação mensal,200108,agosto 2001
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,200109,setembro 2001
1,Brasil,2,%,0.83,1,Brasil,63,IPCA - Variação mensal,200110,outubro 2001
